Time,TimeHr,TimeInt,Power,SoC,Revenue
1199145600.0,0.0,0,1,51,-23.93
1199147400.0,0.5,1,1,52,-23.93
1199149200.0,1.0,2,1,53,-22.92
1199151000.0,1.5,3,1,54,-23.925
1199152800.0,2.0,4,1,55,-22.915
1199154600.0,2.5,5,1,56,-22.43
1199156400.0,3.0,6,1,57,-20.715
1199158200.0,3.5,7,1,58,-20.715
1199160000.0,4.0,8,1,59,-20.715
1199161800.0,4.5,9,1,60,-20.715
1199163600.0,5.0,10,1,61,-20.715
1199165400.0,5.5,11,1,62,-18.225
1199167200.0,6.0,12,1,63,-25.45
1199169000.0,6.5,13,1,64,-25.45
1199170800.0,7.0,14,1,65,-24.91
1199172600.0,7.5,15,1,66,-24.805
1199174400.0,8.0,16,1,67,-24.805
1199176200.0,8.5,17,1,68,-24.805
1199178000.0,9.0,18,1,69,-24.805
1199179800.0,9.5,19,1,70,-25.45
1199181600.0,10.0,20,1,71,-25.45
1199183400.0,10.5,21,1,72,-26.13
1199185200.0,11.0,22,1,73,-26.13
1199187000.0,11.5,23,1,74,-25.985
1199188800.0,12.0,24,1,75,-26.56
1199190600.0,12.5,25,0,75,0.0
1199192400.0,13.0,26,0,75,0.0
1199194200.0,13.5,27,0,75,0.0
1199196000.0,14.0,28,0,75,0.0
1199197800.0,14.5,29,0,75,0.0
1199199600.0,15.0,30,0,75,0.0
1199201400.0,15.5,31,0,75,0.0
1199203200.0,16.0,32,0,75,0.0
1199205000.0,16.5,33,-1,74,40.2
1199206800.0,17.0,34,-1,73,51.675
1199208600.0,17.5,35,-1,72,51.675
1199210400.0,18.0,36,-1,71,51.675
1199212200.0,18.5,37,-1,70,41.675
1199214000.0,19.0,38,-1,69,40.48
1199215800.0,19.5,39,0,69,0.0
1199217600.0,20.0,40,0,69,0.0
1199219400.0,20.5,41,-1,68,44.58
1199221200.0,21.0,42,0,68,0.0
1199223000.0,21.5,43,1,69,-26.56
1199224800.0,22.0,44,1,69,-26.135
1199226600.0,22.5,45,1,70,-26.13
1199228400.0,23.0,46,1,72,-26.56
1199230200.0,23.5,47,1,73,-26.465
1199232000.0,24.0,48,1,74,-25.985
1199233800.0,24.5,49,1,75,-25.725
1199235600.0,25.0,50,1,76,-25.725
1199237400.0,25.5,51,1,77,-25.45
1199239200.0,26.0,52,1,78,-25.45
1199241000.0,26.5,53,1,79,-25.45
1199242800.0,27.0,54,1,80,-24.91
1199244600.0,27.5,55,1,81,-24.91
1199246400.0,28.0,56,1,82,-24.805
1199248200.0,28.5,57,1,83,-24.805
1199250000.0,29.0,58,1,84,-24.805
1199251800.0,29.5,59,1,85,-24.805
1199253600.0,30.0,60,1,86,-24.715
1199255400.0,30.5,61,1,87,-24.75
1199257200.0,31.0,62,1,88,-25.19
1199259000.0,31.5,63,1,89,-26.14
1199260800.0,32.0,64,0,89,0.0
1199262600.0,32.5,65,0,89,0.0
1199264400.0,33.0,66,0,89,0.0
1199266200.0,33.5,67,-1,88,54.29
1199268000.0,34.0,68,0,88,0.0
1199269800.0,34.5,69,0,88,0.0
1199271600.0,35.0,70,0,88,0.0
1199273400.0,35.5,71,0,88,0.0
1199275200.0,36.0,72,0,88,0.0
1199277000.0,36.5,73,-1,87,54.85
1199278800.0,37.0,74,-1,86,54.85
1199280600.0,37.5,75,-1,85,54.85
1199282400.0,38.0,76,0,85,0.0
1199284200.0,38.5,77,0,85,0.0
