opTime,tradeValue
0.0,334.699999619
0.5,247.754999733
1.0,260.080000381
1.5,215.934999619
2.0,195.169999847
2.5,196.795000381
3.0,208.085
3.5,192.074999313
4.0,201.519999161
4.5,184.159999695
5.0,180.879999237
5.5,176.575000839
6.0,185.575000381
6.5,184.980000076
7.0,173.050000381
7.5,175.004999924
8.0,180.314999542
8.5,184.085000687
9.0,181.929999924
9.5,190.844999084
10.0,171.630000458
10.5,166.930000019
11.0,163.804999161
11.5,170.00499939
12.0,149.434999542
12.5,149.649999771
13.0,137.80999939
13.5,140.895000763
14.0,138.310000763
14.5,139.839999084
15.0,140.059999847
15.5,138.784999771
16.0,145.129999771
16.5,126.814999695
17.0,127.599999237
17.5,127.990000839
18.0,136.295000229
18.5,136.614999847
19.0,124.245000687
19.5,127.424999695
20.0,121.944999619
20.5,119.744999619
21.0,110.010000687
21.5,121.424999619
22.0,110.024999237
22.5,117.425000305
23.0,112.385000381
23.5,118.000000534
24.0,116.910000458
24.5,119.919999847
25.0,112.324999847
25.5,111.419999237
26.0,104.074999695
26.5,103.175000763
27.0,106.580000916
27.5,109.455000534
28.0,104.845000076
28.5,101.280000153
29.0,107.049999619
29.5,105.849999695
30.0,108.485000229
30.5,102.389999237
31.0,102.75
31.5,95.9199990845
32.0,90.4299991608
32.5,94.6550005341
33.0,93.33
33.5,90.1400004578
34.0,96.8799999237
34.5,93.5949991608
35.0,94.4850006866
35.5,89.7300008392
36.0,98.2900004578
36.5,92.8249994659
37.0,97.6249999237
37.5,90.4799993896
38.0,89.4749999237
38.5,97.7950008392
39.0,97.1050008392
39.5,94.3299997711
40.0,97.3300003815
40.5,94.6499999237
41.0,94.5200006104
41.5,98.6699981689
42.0,80.5700002289
42.5,81.125
43.0,87.4550008392
43.5,88.8999990845
44.0,87.8849996948
44.5,88.6050009155
45.0,80.6949996185
45.5,82.7550006866
46.0,85.2049992371
46.5,87.5200009155
47.0,84.1050001526
47.5,85.9749994659
48.0,81.7900003815
48.5,87.1099992371
49.0,84.1599993896
49.5,84.2949998474
50.0,88.6400004578
50.5,81.6950008392
51.0,80.1850008392
51.5,83.7499996948
52.0,80.1950002289
52.5,84.4000003052
53.0,81.9900004578
53.5,74.4799996185
54.0,78.6349993896
54.5,79.7099991608
55.0,73.1599995422
55.5,79.8449991608
56.0,76.0399999237
56.5,73.8150006866
57.0,72.8750002289
57.5,74.6999992371
58.0,79.5600000763
58.5,76.0349992371
59.0,76.0199991608
59.5,78.2999998474
60.0,73.7400003815
60.5,73.6200001526
61.0,73.1499996185
61.5,75.0099993896
62.0,78.3300008392
62.5,73.7900003052
63.0,77.9649995422
63.5,67.9849997711
