opTime,tradeValue
0.0,334.699999619
0.5,333.634999619
1.0,260.634999733
1.5,260.615000229
2.0,247.735000229
2.5,219.045000229
3.0,216.345000229
3.5,215.810000381
4.0,224.745000019
4.5,214.615000019
5.0,213.550000019
5.5,192.39000042
6.0,192.385000305
6.5,195.169999847
7.0,197.254999619
7.5,194.764999847
8.0,186.815000381
8.5,186.710000381
9.0,183.305000381
9.5,188.219999847
10.0,188.089999847
10.5,187.259999847
11.0,186.755000687
11.5,182.435000381
12.0,184.700000381
12.5,174.140000534
13.0,176.05
13.5,172.24
14.0,155.224999619
14.5,165.025000381
15.0,158.424999847
15.5,154.739999847
16.0,152.094999847
16.5,142.159999847
17.0,140.984999161
17.5,142.92
18.0,150.91
18.5,143.445
19.0,143.025
19.5,142.755
20.0,142.755
20.5,140.86
21.0,140.295
21.5,139.955
22.0,139.004999313
22.5,139.450000839
23.0,136.194999809
23.5,129.884999809
24.0,134.594999161
24.5,126.814999695
25.0,126.810000534
25.5,123.160000534
26.0,131.619999695
26.5,126.984999695
27.0,125.219999695
27.5,120.619999809
28.0,120.619999809
28.5,117.844999695
29.0,117.174999695
29.5,117.174999695
30.0,115.619999733
30.5,114.579999733
31.0,114.944999695
31.5,111.834999695
32.0,112.6
32.5,110.515
33.0,118.339999313
33.5,110.024999237
34.0,123.559999237
34.5,113.715000305
35.0,118.644999161
35.5,108.149999733
36.0,107.879999733
36.5,103.909999733
37.0,101.295000038
37.5,99.1099996185
38.0,108.609999695
38.5,105.680000381
39.0,105.025000076
39.5,104.914999466
40.0,104.709999084
40.5,102.685000916
41.0,109.78
41.5,103.065
42.0,102.28
42.5,99.1000003052
43.0,99.7200000763
43.5,99.7200000763
44.0,99.6400000763
44.5,99.6400000763
45.0,99.0700000763
45.5,99.0300000763
46.0,99.0300000763
46.5,99.0300000763
47.0,109.02499939
47.5,106.709999084
48.0,91.0699991608
48.5,91.0699991608
49.0,89.4649991608
49.5,97.3900005341
50.0,97.765
50.5,98.3299997711
51.0,98.0649992371
51.5,96.5699992371
52.0,96.5300002289
52.5,96.3800002289
53.0,94.0700002289
53.5,92.1850008392
54.0,96.1549992371
54.5,93.3499992371
55.0,93.3499992371
55.5,90.7200007629
56.0,93.6600009155
56.5,90.0349995422
57.0,89.5950009155
57.5,92.9350007629
58.0,92.9350007629
58.5,91.8399996948
59.0,89.9449997711
59.5,93.33
60.0,97.4750006866
60.5,96.2399996185
61.0,93.7899996185
61.5,92.8649996185
62.0,96.8799999237
62.5,93.5949991608
63.0,91.9699991608
63.5,90.4849991608
64.0,94.4850006866
64.5,97.9500001526
65.0,95.9850008392
65.5,95.9850008392
66.0,95.9850008392
66.5,95.9850008392
67.0,95.9850008392
67.5,92.8300008392
68.0,92.0799999237
68.5,95.3050004578
69.0,93.3199998474
69.5,88.5299993134
70.0,87.4299993134
70.5,84.0599993134
71.0,84.0599993134
71.5,88.4750009155
72.0,81.3650008392
72.5,81.3650008392
73.0,88.8999990845
73.5,86.0649996948
74.0,85.6999996948
74.5,85.6849996948
75.0,81.6150009155
75.5,85.4650006866
76.0,82.8850006866
76.5,85.9649995422
77.0,84.7949995422
77.5,85.1300005341
78.0,83.4150005341
78.5,83.2050005341
79.0,80.6949996185
79.5,80.6100005341
80.0,82.6600000763
80.5,85.2049992371
81.0,87.4399996185
81.5,85.3949991608
82.0,87.7050003815
82.5,81.4349996948
83.0,85.4950008392
83.5,85.4950008392
84.0,85.8600007629
84.5,84.7100007629
85.0,85.7950007629
85.5,85.4200007629
86.0,83.5450007629
86.5,81.6950008392
87.0,73.6200009155
87.5,76.8699999237
88.0,78.7149991608
88.5,78.0199990845
89.0,78.0199990845
89.5,73.49
90.0,73.4699995422
90.5,79.8600006866
91.0,79.7099991608
91.5,79.8649995422
92.0,79.4649995422
92.5,78.3849995422
93.0,75.6199995422
93.5,73.0799996185
94.0,73.0799996185
94.5,73.0799996185
95.0,73.0799996185
95.5,72.5850005341
96.0,72.0400004578
96.5,72.0350004578
97.0,79.2300008392
97.5,78.5150008392
98.0,77.7700008392
98.5,75.3349990845
99.0,78.3450003815
99.5,78.1150003815
100.0,77.5850003815
100.5,73.3400003815
101.0,73.3400003815
101.5,72.8300003815
102.0,74.2399999237
102.5,73.1699996948
103.0,76.5549995422
103.5,77.1400000763
104.0,75.2649993896
104.5,73.8149993896
105.0,75.1749996185
105.5,74.7400003815
106.0,74.5849992371
106.5,72.1850000763
107.0,76.9100005341
107.5,76.9100005341
108.0,73.8600005341
108.5,78.3599993134
109.0,74.3999993134
109.5,67.7850009155
110.0,64.3700009155
110.5,65.1950008392
111.0,71.3700006866
111.5,68.8249993896
112.0,68.8249993896
112.5,66.8449994659
113.0,65.6700003815
113.5,65.0749991608
114.0,71.8399995422
114.5,67.9049995422
115.0,64.5449995422
115.5,70.3450007629
116.0,64.5000007629
116.5,64.1800001526
117.0,64.0000006866
117.5,64.1049993896
118.0,67.2249991608
118.5,64.2849991608
119.0,68.4250004578
119.5,67.7299990845
120.0,67.0399990845
120.5,66.5549992371
121.0,66.5049992371
121.5,64.9899992371
122.0,71.3799996948
122.5,71.0499996948
123.0,71.8500005341
123.5,71.4600005341
124.0,70.2350005341
124.5,67.5550003052
125.0,70.805
125.5,70.805
126.0,67.0050009155
126.5,69.9950000763
127.0,66.3450002289
127.5,66.3450002289
128.0,67.2550006866
128.5,66.1199998474
129.0,69.6700003815
129.5,71.4350004578
130.0,68.8550003815
130.5,67.3950003815
131.0,66.2350003815
131.5,70.6250000763
132.0,71.6550005341
132.5,66.8750005341
133.0,66.8750005341
133.5,67.9999995422
134.0,65.6050004578
134.5,64.8600004578
135.0,68.2249999237
135.5,66.9349996948
136.0,58.9599999237
136.5,58.3100003433
137.0,58.2850009155
137.5,58.2850009155
138.0,62.2350008392
138.5,58.6200006866
139.0,63.96
139.5,58.3
140.0,57.4549994659
140.5,57.4600007629
141.0,63.9650006866
141.5,63.9650006866
142.0,63.9650006866
142.5,63.9650006866
143.0,63.9699991608
143.5,58.0850009155
144.0,57.9050009155
144.5,63.9500006866
145.0,63.2600006866
145.5,58.865
146.0,58.4
146.5,63.9599991608
147.0,59.0050007629
147.5,59.0050007629
148.0,63.6599992371
148.5,60.6049992371
149.0,57.1599996948
149.5,62.5100003052
150.0,61.0250009155
150.5,62.7049995422
151.0,62.5899997711
151.5,62.7450006866
152.0,57.3700006866
152.5,60.75
153.0,60.75
153.5,61.0700001526
154.0,61.0700001526
154.5,61.0700001526
155.0,61.0700001526
155.5,62.9100003815
156.0,59.9049993134
156.5,57.1599991608
157.0,62.2449991608
157.5,61.9999991608
158.0,57.0750006866
158.5,58.4850004578
159.0,62.4000000763
159.5,62.8799992371
160.0,60.8049996185
160.5,57.9599995422
161.0,60.0500004578
161.5,59.0800004578
162.0,60.0399999237
162.5,60.0399999237
163.0,60.0399999237
163.5,61.6649996948
164.0,61.6649996948
164.5,60.1299996948
165.0,60.1299996948
165.5,60.1299996948
166.0,60.1150003052
166.5,60.1150003052
167.0,57.8250003052
167.5,59.9999998474
168.0,57.6249998474
168.5,61.7750006866
169.0,61.9300002289
169.5,61.9300002289
170.0,61.9300002289
170.5,57.5100002289
171.0,60.4950008392
171.5,59.5800008392
172.0,59.1450003052
172.5,59.1450003052
173.0,59.1450003052
173.5,58.3749998474
174.0,58.3749998474
174.5,55.9950003433
175.0,53.0649998474
175.5,55.1750003815
176.0,56.0899998474
176.5,55.9449993896
177.0,56.3449991608
177.5,53.2750006104
178.0,56.5549996948
178.5,55.0249996948
179.0,54.8849992371
179.5,54.4999992371
180.0,55.9400009155
180.5,53.3900002289
181.0,52.7949998474
181.5,52.4649996185
182.0,52.2849996185
182.5,52.3949999237
